SubscriptionGuid,ResourceGroup,ResourceLocation,UsageDateTime,MeterCategory,MeterSubCategory,MeterId,MeterName,MeterRegion,UsageQuantity,ResourceRate,PreTaxCost,ConsumedService,ResourceType,InstanceId,Tags,OfferId,AdditionalInfo,ServiceInfo1,ServiceInfo2,ServiceName,ServiceTier,Currency,UnitOfMeasure
3d722232-3ed0-4b65-8474-b04fc0876908,rg-shared-2,East US,2023-10-02 23:02:00,AI/ML,Machine Learning,meter-ai/ml-9935,Machine Learning - East US,East US,8463.48,2.8131,23808.6156,Microsoft.AI/ML,Microsoft.Web/sites,instance-22281,"{""Environment"": ""Production"", ""Owner"": ""team-data"", ""Project"": ""project-9"", ""CostCenter"": ""CC-696""}",MS-AZR-1720,Additional info for AI/ML,Service info 1 - 79,Service info 2 - 57,Azure Machine Learning,Basic,USD,1 Unit
e07eb4c5-06ea-45c7-9d71-285c4ec90e0e,rg-test-1,East US,2023-05-22 08:50:00,Network,Application Gateway,meter-network-1087,Application Gateway - East US,East US,582.14,0.176,102.4566,Microsoft.Network,Microsoft.Sql/servers,instance-76045,"{""Environment"": ""Development"", ""Owner"": ""team-devops"", ""Project"": ""project-9"", ""CostCenter"": ""CC-797""}",MS-AZR-3478,Additional info for Network,Service info 1 - 100,Service info 2 - 17,Azure Application Gateway,Consumption,USD,1 Instance
09d5b753-c27d-4cdd-b23d-fec373393c05,rg-shared-1,East US,2023-12-04 16:16:00,Network,VPN Gateway,meter-network-7877,VPN Gateway - East US,East US,596.94,0.462,358.5222,Microsoft.Network,Microsoft.Network/loadBalancers,instance-89365,"{""Environment"": ""Production"", ""Owner"": ""team-backend"", ""Project"": ""project-4"", ""CostCenter"": ""CC-635""}",MS-AZR-2577,Additional info for Network,Service info 1 - 23,Service info 2 - 61,Azure VPN Gateway,Consumption,USD,1 Unit
0666777d-2e63-496c-bdba-53cfeb9e91bf,rg-prod-2,South Central US,2023-01-24 10:47:00,Database,MySQL,meter-database-4917,MySQL - South Central US,South Central US,10.99,3.0229,43.1882,Microsoft.Database,Microsoft.Compute/virtualMachines,instance-75400,"{""Environment"": ""Development"", ""Owner"": ""team-devops"", ""Project"": ""project-6"", ""CostCenter"": ""CC-156""}",MS-AZR-1479,Additional info for Database,Service info 1 - 15,Service info 2 - 67,Azure MySQL,Free,USD,1 GB
6184f808-cfd4-469d-8cb1-0056ec94fce7,rg-shared-2,East US,2023-01-19 19:51:00,Management,Backup,meter-management-1743,Backup - East US,East US,652.09,0.0184,15.5981,Microsoft.Management,Microsoft.Storage/storageAccounts,instance-99180,"{""Environment"": ""Test"", ""Owner"": ""team-devops"", ""Project"": ""project-3"", ""CostCenter"": ""CC-227""}",MS-AZR-1121,Additional info for Management,Service info 1 - 1,Service info 2 - 86,Azure Backup,Basic,USD,1 Instance
e2fee095-37a9-43dd-b9a8-db5d0e28b2ff,rg-prod-4,East US,2023-10-19 03:24:00,Management,Site Recovery,meter-management-9623,Site Recovery - East US,East US,64.45,0.3728,24.027,Microsoft.Management,Microsoft.Sql/servers,instance-23057,"{""Environment"": ""Production"", ""Owner"": ""team-data"", ""Project"": ""project-9"", ""CostCenter"": ""CC-509""}",MS-AZR-1715,Additional info for Management,Service info 1 - 7,Service info 2 - 58,Azure Site Recovery,Free,USD,1 GB-Hour
a158f797-d6cc-4c9b-b9b1-f9d5f9a4d2b0,rg-test-1,South Central US,2023-04-05 01:14:00,AI/ML,Speech Services,meter-ai/ml-4757,Speech Services - South Central US,South Central US,8042.94,1.6121,12966.0236,Microsoft.AI/ML,Microsoft.Sql/servers,instance-24118,"{""Environment"": ""Production"", ""Owner"": ""team-frontend"", ""Project"": ""project-10"", ""CostCenter"": ""CC-515""}",MS-AZR-4838,Additional info for AI/ML,Service info 1 - 22,Service info 2 - 8,Azure Speech Services,Standard,USD,1 vCPU
f9ccc351-0723-40f3-9a14-a799c1fe3ba9,rg-prod-3,East US,2023-04-28 10:22:00,Security,Security Center,meter-security-9932,Security Center - East US,East US,1.72,1.9061,3.2785,Microsoft.Security,Microsoft.Compute/virtualMachines,instance-27499,"{""Environment"": ""Production"", ""Owner"": ""team-data"", ""Project"": ""project-8"", ""CostCenter"": ""CC-386""}",MS-AZR-4582,Additional info for Security,Service info 1 - 8,Service info 2 - 71,Azure Security Center,Basic,USD,1 Transaction
1b40a7f2-9341-431b-91d5-347ee0a1c93a,rg-test-1,South Central US,2023-02-21 06:06:00,Database,MySQL,meter-database-6245,MySQL - South Central US,South Central US,96.77,4.8127,465.725,Microsoft.Database,Microsoft.Compute/virtualMachines,instance-31672,"{""Environment"": ""Test"", ""Owner"": ""team-data"", ""Project"": ""project-6"", ""CostCenter"": ""CC-605""}",MS-AZR-8432,Additional info for Database,Service info 1 - 45,Service info 2 - 86,Azure MySQL,Consumption,USD,1 Unit
3f16ef90-9dc5-4228-8042-4bc21872fe68,rg-shared-3,East US,2023-09-21 20:49:00,Storage,Blob Storage,meter-storage-5217,Blob Storage - East US,East US,2940.39,0.0177,52.0449,Microsoft.Storage,Microsoft.KeyVault/vaults,instance-94799,"{""Environment"": ""Test"", ""Owner"": ""team-frontend"", ""Project"": ""project-1"", ""CostCenter"": ""CC-493""}",MS-AZR-3850,Additional info for Storage,Service info 1 - 88,Service info 2 - 59,Azure Blob Storage,Free,USD,1 GB
6db24d26-721d-4a22-9afd-a2932935ceb1,rg-compute-5,East US,2023-07-07 08:44:00,Compute,Batch,meter-compute-8707,Batch - East US,East US,991.12,1.598,1742.1908,Microsoft.Compute,Microsoft.Compute/virtualMachines,instance-63529,"{""Environment"": ""Test"", ""Owner"": ""team-data"", ""Project"": ""project-7"", ""CostCenter"": ""CC-819""}",MS-AZR-4486,Additional info for Compute,Service info 1 - 11,Service info 2 - 32,Azure Batch,Consumption,USD,1 Request
1cebed8e-0a1a-4ff4-a2c6-781134d3109a,rg-test-1,South Central US,2023-04-30 00:04:00,Security,Sentinel,meter-security-5874,Sentinel - South Central US,South Central US,9.85,0.4558,3.1427,Microsoft.Security,Microsoft.KeyVault/vaults,instance-69882,"{""Environment"": ""Staging"", ""Owner"": ""team-devops"", ""Project"": ""project-1"", ""CostCenter"": ""CC-981""}",MS-AZR-2167,Additional info for Security,Service info 1 - 37,Service info 2 - 8,Azure Sentinel,Consumption,USD,1 Node
99bb4f16-19af-47d5-a08e-50708126b211,rg-prod-2,East US,2023-05-02 21:03:00,Management,Backup,meter-management-9362,Backup - East US,East US,662.48,0.3216,213.0536,Microsoft.Management,Microsoft.KeyVault/vaults,instance-17915,"{""Environment"": ""Staging"", ""Owner"": ""team-frontend"", ""Project"": ""project-3"", ""CostCenter"": ""CC-610""}",MS-AZR-3545,Additional info for Management,Service info 1 - 26,Service info 2 - 47,Azure Backup,Free,USD,1 TB-Month
f2d3f744-8011-480f-a5c0-4c922e2806a0,rg-test-2,East US,2023-10-12 21:16:00,Compute,Batch,meter-compute-8656,Batch - East US,East US,931.03,0.908,845.3752,Microsoft.Compute,Microsoft.Storage/storageAccounts,instance-17184,"{""Environment"": ""Production"", ""Owner"": ""team-data"", ""Project"": ""project-3"", ""CostCenter"": ""CC-140""}",MS-AZR-8721,Additional info for Compute,Service info 1 - 37,Service info 2 - 8,Azure Batch,Premium,USD,1 GB-Hour
62f042de-4895-4020-adca-30e77cd450a1,rg-test-1,East US,2023-08-07 13:03:00,Compute,Virtual Machines,meter-compute-1692,Virtual Machines - East US,East US,292.14,1.6027,515.0341,Microsoft.Compute,Microsoft.CognitiveServices/accounts,instance-15066,"{""Environment"": ""Test"", ""Owner"": ""team-devops"", ""Project"": ""project-3"", ""CostCenter"": ""CC-403""}",MS-AZR-2779,Additional info for Compute,Service info 1 - 5,Service info 2 - 27,Azure Virtual Machines,Free,USD,1 Node
